('overnight', 'getaway') = 10.910539860845647
('gap', 'door') = 10.904893297704504
('treatment', 'medical') = 10.891803298264062
('booked', 'room') = 10.889230338273494
('interested', 'less') = 10.88252548467605
('do', 'consider') = 10.88252548467605
('complimentary', 'pool') = 10.88252548467605
('complimentary', 'offers') = 10.88252548467605
('terrific', 'experience') = 10.88252548467605
('gracious', 'hosts') = 10.88252548467605
('touch', 'reception') = 10.88252548467605
('pleased', 'experience') = 10.88252548467605
('liked', 'pool') = 10.88252548467605
('thought', 'what') = 10.88252548467605
('decent', 'place') = 10.878988020604847
('efficient', 'staff') = 10.874013984820532
('overpriced', 'food') = 10.868719685151019
('overpriced', 'way') = 10.868719685151019
('carpets', 'thinking') = 10.868719685151019
('came', 'keeping') = 10.868719685151019
('better', 'price') = 10.858938664358433
('noisy', 'fan') = 10.851646171792078
('king', 'deluxe') = 10.849610862203315
('stores', 'convenience') = 10.845999608650937
('okay', 'breakfast') = 10.843507741223279
('school', 'thoughtful') = 10.828077700653674
('shared', 'room') = 10.828077700653674
('changed', 'mind') = 10.828077700653674
('true', 'hear') = 10.828077700653674
('reach', 'motel') = 10.828077700653674
('reach', 'room') = 10.828077700653674
('exquisite', 'cozy') = 10.828077700653674
('put', 'mind') = 10.828077700653674
('hilton', 'loving') = 10.828077700653674
('locks', 'safety') = 10.828077700653674
('eye', 'loving') = 10.828077700653674
('hospitable', 'hosts') = 10.828077700653674
('acoustics', 'hear') = 10.828077700653674
('patrons', 'screaming') = 10.828077700653674
('niche', 'served') = 10.828077700653674
('bigger', 'problem') = 10.828077700653674
('nervous', 'what') = 10.828077700653674
('surprised', 'what') = 10.828077700653674
('say', 'people') = 10.828077700653674
('expensive', 'restaurant') = 10.828077700653674
('expensive', 'food') = 10.828077700653674
('terrific', 'service') = 10.817430456454165
('personable', 'staff') = 10.81357813095856
('pleasant', 'experience') = 10.813483840246398
('star', 'deserve') = 10.812136156784652
('patient', 'seem') = 10.801605489292482
('support', 'grateful') = 10.801605489292482
('short', 'period') = 10.801605489292482
('believe', 'difficult') = 10.801605489292482
('believe', 'charge') = 10.801605489292482
